Level	Date and Time	Source	Event ID	Task Category
Warning	7/18/2023 2:28:59 PM	Microsoft-Windows-TerminalServices-Licensing	18	None	"The Remote Desktop license server ""METASPLOITABLE3"" has not been activated and therefore will only issue temporary licenses. To issue permanent licenses, the Remote Desktop license server must be activated."
Information	7/18/2023 2:28:58 PM	Microsoft-Windows-WinRM	10121	None	"The WinRM service has been configured to accept basic authentication for unsecure HTTP connections. 

 This is not a secure configuration. 

 User Action 
 Set AllowUnencrypted to False in WinRM configuration to ensure packets are encrypted on the wire."
Information	7/18/2023 2:28:58 PM	Microsoft-Windows-WinRM	10148	None	"The WinRM service is listening for WS-Management requests. 

 User Action 
 Use the following command to see the specific IPs on which WinRM is listening: 

 winrm enumerate winrm/config/listener"
Information	7/18/2023 2:28:57 PM	Service Control Manager	7036	None	The Remote Desktop Services service entered the running state.
Information	7/18/2023 2:28:57 PM	Service Control Manager	7036	None	The Distributed Link Tracking Client service entered the running state.
Information	7/18/2023 2:28:57 PM	Service Control Manager	7036	None	The MEDC Server Component - Apache service entered the running state.
Information	7/18/2023 2:28:57 PM	Service Control Manager	7036	None	The OpenSSH Server service entered the running state.
Information	7/18/2023 2:28:57 PM	Service Control Manager	7036	None	The Remote Registry service entered the running state.
Information	7/18/2023 2:28:57 PM	Service Control Manager	7036	None	The SNMP Service service entered the running state.
Error	7/18/2023 2:28:57 PM	SNMP	1500	None	The SNMP Service encountered an error while accessing the registry key SYSTEM\CurrentControlSet\Services\SNMP\Parameters\TrapConfiguration.
Information	7/18/2023 2:28:52 PM	Service Control Manager	7036	None	The Network Location Awareness service entered the running state.
Information	7/18/2023 2:28:50 PM	Service Control Manager	7036	None	The ManageEngine Desktop Central Server service entered the running state.
Information	7/18/2023 2:28:48 PM	Service Control Manager	7036	None	The jmx service entered the running state.
Information	7/18/2023 2:28:48 PM	Service Control Manager	7036	None	The MEDC Server Component - Notification Server service entered the running state.
Information	7/18/2023 2:28:48 PM	Service Control Manager	7036	None	The Elasticsearch 1.1.1 (elasticsearch-service-x64) service entered the running state.
Information	7/18/2023 2:28:48 PM	Service Control Manager	7036	None	The jenkins service entered the running state.
Information	7/18/2023 2:28:47 PM	Service Control Manager	7036	None	The Amazon SSM Agent service entered the running state.
Information	7/18/2023 2:28:46 PM	Service Control Manager	7036	None	The domain1 GlassFish Server service entered the running state.
Information	7/18/2023 2:28:46 PM	Service Control Manager	7036	None	The Microsoft FTP Service service entered the running state.
Information	7/18/2023 2:28:46 PM	Service Control Manager	7036	None	The IKE and AuthIP IPsec Keying Modules service entered the running state.
Information	7/18/2023 2:28:46 PM	Service Control Manager	7036	None	The Application Host Helper Service service entered the running state.
Information	7/18/2023 2:28:46 PM	Service Control Manager	7036	None	The Cryptographic Services service entered the running state.
Information	7/18/2023 2:28:46 PM	Service Control Manager	7036	None	The AWS Lite Guest Agent service entered the running state.
Information	7/18/2023 2:28:45 PM	Service Control Manager	7036	None	The Print Spooler service entered the running state.
Information	7/18/2023 2:28:45 PM	Service Control Manager	7036	None	The Security Accounts Manager service entered the running state.
Information	7/18/2023 2:28:45 PM	Service Control Manager	7036	None	The Workstation service entered the running state.
Information	7/18/2023 2:28:45 PM	Service Control Manager	7036	None	The Windows Firewall service entered the running state.
Information	7/18/2023 2:28:45 PM	Service Control Manager	7036	None	The Base Filtering Engine service entered the running state.
Information	7/18/2023 2:28:45 PM	Service Control Manager	7036	None	The Task Scheduler service entered the running state.
Information	7/18/2023 2:28:45 PM	Service Control Manager	7036	None	The Shell Hardware Detection service entered the running state.
Information	7/18/2023 2:28:45 PM	Service Control Manager	7036	None	The DNS Client service entered the running state.
Information	7/18/2023 2:28:45 PM	Service Control Manager	7036	None	The DHCP Client service entered the running state.
Information	7/18/2023 2:28:45 PM	Microsoft-Windows-DHCPv6-Client	51046	Service State Event	DHCPv6 client service is started
Information	7/18/2023 2:28:45 PM	Microsoft-Windows-Dhcp-Client	50036	Service State Event	DHCPv4 client service is started
Information	7/18/2023 2:28:45 PM	Service Control Manager	7036	None	The TCP/IP NetBIOS Helper service entered the running state.
Information	7/18/2023 2:28:45 PM	Service Control Manager	7036	None	The Network Store Interface Service service entered the running state.
Information	7/18/2023 2:28:45 PM	Service Control Manager	7036	None	The Desktop Window Manager Session Manager service entered the running state.
Information	7/18/2023 2:28:45 PM	Service Control Manager	7036	None	The System Event Notification Service service entered the running state.
Information	7/18/2023 2:28:45 PM	Service Control Manager	7036	None	The COM+ Event System service entered the running state.
Information	7/18/2023 2:28:45 PM	Service Control Manager	7036	None	The User Profile Service service entered the running state.
Information	7/18/2023 2:28:45 PM	Service Control Manager	7036	None	The Group Policy Client service entered the running state.
Information	7/18/2023 2:28:45 PM	Service Control Manager	7036	None	The Windows Event Log service entered the running state.
Information	7/18/2023 2:28:45 PM	Service Control Manager	7036	None	The Remote Procedure Call (RPC) service entered the running state.
Information	7/18/2023 2:28:44 PM	Service Control Manager	7036	None	The RPC Endpoint Mapper service entered the running state.
Information	7/18/2023 2:28:44 PM	Service Control Manager	7036	None	The DCOM Server Process Launcher service entered the running state.
Information	7/18/2023 2:28:44 PM	Microsoft-Windows-FilterManager	6	None	File System Filter 'luafv' (6.1, ‎2009‎-‎07‎-‎13T16:26:13.000000000Z) has successfully loaded and registered with Filter Manager.
Information	7/18/2023 2:28:44 PM	Service Control Manager	7036	None	The Power service entered the running state.
Information	7/18/2023 2:28:44 PM	Microsoft-Windows-UserPnp	20010	(7010)	"One or more of the Plug and Play service's subsystems has changed state. 

PlugPlay install subsystem enabled: 'true' 
PlugPlay caching subsystem enabled: 'true' 
"
Information	7/18/2023 2:28:44 PM	Service Control Manager	7036	None	The Plug and Play service entered the running state.
Information	7/18/2023 2:28:43 PM	Microsoft-Windows-Kernel-Processor-Power	26	(4)	"Processor 1 in group 0 exposes the following:

1 idle state(s)
0 performance state(s)
0 throttle state(s)"
Information	7/18/2023 2:28:43 PM	Microsoft-Windows-Kernel-Processor-Power	26	(4)	"Processor 0 in group 0 exposes the following:

1 idle state(s)
0 performance state(s)
0 throttle state(s)"
Information	7/18/2023 2:28:43 PM	ena	5203	None	Amazon Elastic Network Adapter: Adapter was restarted.
Information	7/18/2023 2:28:43 PM	ena	5202	None	Amazon Elastic Network Adapter: Adapter was paused.
Information	7/18/2023 2:28:43 PM	ena	5203	None	Amazon Elastic Network Adapter: Adapter was restarted.
Information	7/18/2023 2:28:43 PM	ena	5200	None	Amazon Elastic Network Adapter: Adapter was initialized.
Information	7/18/2023 2:28:41 PM	Microsoft-Windows-Kernel-General	12	None	The operating system started at system time ‎2023‎-‎07‎-‎18T21:28:41.375200000Z.
Information	7/18/2023 2:02:41 PM	Microsoft-Windows-Kernel-General	13	None	The operating system is shutting down at system time ‎2023‎-‎07‎-‎18T21:02:41.908200000Z.
Information	7/18/2023 2:02:41 PM	Microsoft-Windows-Kernel-Power	109	(103)	The kernel power manager has initiated a shutdown transition.
Information	7/18/2023 2:28:45 PM	EventLog	6013	None	The system uptime is 3 seconds.
Information	7/18/2023 2:28:45 PM	EventLog	6005	None	The Event log service was started.
Information	7/18/2023 2:28:45 PM	EventLog	6009	None	Microsoft (R) Windows (R) 6.01. 7601 Service Pack 1 Multiprocessor Free.
Information	7/18/2023 2:02:39 PM	Service Control Manager	7036	None	The MEDC Server Component - Apache service entered the stopped state.
Information	7/18/2023 2:02:39 PM	Service Control Manager	7036	None	The Ec2Config service entered the stopped state.
Information	7/18/2023 2:02:38 PM	Service Control Manager	7036	None	The Windows Process Activation Service service entered the stopped state.
Information	7/18/2023 2:02:38 PM	Service Control Manager	7036	None	The wampmysqld service entered the stopped state.
Information	7/18/2023 2:02:38 PM	Service Control Manager	7036	None	The Windows Remote Management (WS-Management) service entered the stopped state.
Information	7/18/2023 2:02:38 PM	Service Control Manager	7036	None	The Microsoft FTP Service service entered the stopped state.
Information	7/18/2023 2:02:38 PM	Service Control Manager	7036	None	The Remote Desktop Licensing service entered the stopped state.
Information	7/18/2023 2:02:38 PM	Service Control Manager	7036	None	The Cryptographic Services service entered the stopped state.
Information	7/18/2023 2:02:38 PM	Service Control Manager	7036	None	The Remote Desktop Services service entered the stopped state.
Information	7/18/2023 2:02:37 PM	Service Control Manager	7036	None	The Application Host Helper Service service entered the stopped state.
Information	7/18/2023 2:02:37 PM	Service Control Manager	7036	None	The Windows Management Instrumentation service entered the stopped state.
Information	7/18/2023 2:02:37 PM	Service Control Manager	7036	None	The Distributed Link Tracking Client service entered the stopped state.
Information	7/18/2023 2:02:37 PM	Service Control Manager	7036	None	The jmx service entered the stopped state.
Information	7/18/2023 2:02:37 PM	Service Control Manager	7036	None	The World Wide Web Publishing Service service entered the stopped state.
Information	7/18/2023 2:02:37 PM	Service Control Manager	7036	None	The Desktop Window Manager Session Manager service entered the stopped state.
Information	7/18/2023 2:02:37 PM	Service Control Manager	7036	None	The Remote Desktop Services UserMode Port Redirector service entered the stopped state.
Information	7/18/2023 2:02:37 PM	Service Control Manager	7036	None	The IPsec Policy Agent service entered the stopped state.
Information	7/18/2023 2:02:37 PM	Service Control Manager	7036	None	The User Profile Service service entered the stopped state.
Information	7/18/2023 2:02:37 PM	Service Control Manager	7036	None	The IKE and AuthIP IPsec Keying Modules service entered the stopped state.
Information	7/18/2023 2:02:37 PM	Service Control Manager	7036	None	The Distributed Transaction Coordinator service entered the stopped state.
Information	7/18/2023 2:02:37 PM	Service Control Manager	7036	None	The jenkins service entered the stopped state.
Information	7/18/2023 2:02:37 PM	Service Control Manager	7036	None	The Power service entered the stopped state.
Information	7/18/2023 2:02:37 PM	Service Control Manager	7036	None	The Plug and Play service entered the stopped state.
Information	7/18/2023 2:02:37 PM	Microsoft-Windows-UserPnp	20010	(7010)	"One or more of the Plug and Play service's subsystems has changed state. 

PlugPlay install subsystem enabled: 'false' 
PlugPlay caching subsystem enabled: 'false' 
"
Information	7/18/2023 2:02:37 PM	Service Control Manager	7036	None	The Windows Event Log service entered the stopped state.
Information	7/18/2023 2:02:37 PM	Service Control Manager	7036	None	The MEDC Server Component - Notification Server service entered the stopped state.
Information	7/18/2023 2:02:36 PM	Service Control Manager	7036	None	The Windows Font Cache Service service entered the stopped state.
Information	7/18/2023 2:02:36 PM	Service Control Manager	7036	None	The Diagnostic Policy Service service entered the stopped state.
Information	7/18/2023 2:02:36 PM	Service Control Manager	7036	None	The Certificate Propagation service entered the stopped state.
Information	7/18/2023 2:02:36 PM	Service Control Manager	7036	None	The DHCP Client service entered the stopped state.
Information	7/18/2023 2:02:36 PM	Microsoft-Windows-Dhcp-Client	50037	Service State Event	DHCPv4 client service is stopped. ShutDown Flag value is 1
Information	7/18/2023 2:02:36 PM	Microsoft-Windows-DHCPv6-Client	51047	Service State Event	DHCPv6 client service is stopped. ShutDown Flag value is 1
Information	7/18/2023 2:02:37 PM	EventLog	6006	None	The Event log service was stopped.
Information	7/18/2023 2:02:32 PM	Service Control Manager	7036	None	The ManageEngine Desktop Central Server service entered the stopped state.
Information	7/18/2023 2:02:31 PM	Service Control Manager	7036	None	The Windows Error Reporting Service service entered the running state.
Information	7/18/2023 2:02:30 PM	Service Control Manager	7036	None	The Elasticsearch 1.1.1 (elasticsearch-service-x64) service entered the stopped state.
Information	7/18/2023 2:02:30 PM	Service Control Manager	7036	None	The Group Policy Client service entered the stopped state.
Information	7/18/2023 2:02:30 PM	Service Control Manager	7036	None	The Windows Update service entered the stopped state.
Information	7/18/2023 2:02:30 PM	USER32	1074	None	"The process C:\Windows\system32\winlogon.exe (METASPLOITABLE3) has initiated the power off of computer METASPLOITABLE3 on behalf of user NT AUTHORITY\SYSTEM for the following reason: No title for this reason could be found
 Reason Code: 0x500ff
 Shutdown Type: power off
 Comment: "
Information	7/18/2023 12:00:00 PM	EventLog	6013	None	The system uptime is 100141 seconds.
Information	7/17/2023 1:38:33 PM	Service Control Manager	7036	None	The Windows Modules Installer service entered the stopped state.
Information	7/17/2023 1:38:33 PM	Service Control Manager	7040	None	The start type of the Windows Modules Installer service was changed from auto start to demand start.
Information	7/17/2023 1:38:32 PM	Service Control Manager	7040	None	The start type of the Windows Modules Installer service was changed from demand start to auto start.
Information	7/17/2023 12:00:00 PM	EventLog	6013	None	The system uptime is 13741 seconds.
Information	7/17/2023 8:53:18 AM	Service Control Manager	7036	None	The Diagnostic System Host service entered the stopped state.
Information	7/17/2023 8:27:49 AM	Service Control Manager	7036	None	The WinHTTP Web Proxy Auto-Discovery Service service entered the stopped state.
Information	7/17/2023 8:21:21 AM	Service Control Manager	7036	None	The Application Experience service entered the stopped state.
Information	7/17/2023 8:16:54 AM	Service Control Manager	7036	None	The Software Protection service entered the stopped state.
Information	7/17/2023 8:13:25 AM	Service Control Manager	7036	None	The Shell Hardware Detection service entered the stopped state.
Information	7/17/2023 8:13:19 AM	Service Control Manager	7036	None	The Windows Update service entered the running state.
Information	7/17/2023 8:13:19 AM	Service Control Manager	7036	None	The Portable Device Enumerator Service service entered the stopped state.
Information	7/17/2023 8:13:18 AM	Service Control Manager	7036	None	The SNMP Trap service entered the running state.
Information	7/17/2023 8:13:18 AM	Service Control Manager	7036	None	The Distributed Transaction Coordinator service entered the running state.
Information	7/17/2023 8:13:18 AM	Service Control Manager	7036	None	The Windows Font Cache Service service entered the running state.
Information	7/17/2023 8:13:18 AM	Service Control Manager	7036	None	The Diagnostic System Host service entered the running state.
Information	7/17/2023 8:13:18 AM	Service Control Manager	7036	None	The Diagnostic Policy Service service entered the running state.
Information	7/17/2023 8:13:18 AM	Service Control Manager	7036	None	The Microsoft .NET Framework NGEN v4.0.30319_X64 service entered the stopped state.
Information	7/17/2023 8:13:18 AM	Service Control Manager	7036	None	The Microsoft .NET Framework NGEN v4.0.30319_X64 service entered the running state.
Information	7/17/2023 8:13:17 AM	Service Control Manager	7036	None	The Microsoft .NET Framework NGEN v4.0.30319_X86 service entered the stopped state.
Information	7/17/2023 8:13:17 AM	Service Control Manager	7036	None	The Microsoft .NET Framework NGEN v4.0.30319_X86 service entered the running state.
Information	7/17/2023 8:12:03 AM	Service Control Manager	7036	None	The AWS Lite Guest Agent service entered the stopped state.
Information	7/17/2023 8:11:51 AM	Service Control Manager	7036	None	The Windows Modules Installer service entered the running state.
Information	7/17/2023 8:11:25 AM	Service Control Manager	7036	None	The Windows Licensing Monitoring Service service entered the stopped state.
Information	7/17/2023 8:11:21 AM	Service Control Manager	7036	None	The IPsec Policy Agent service entered the running state.
Information	7/17/2023 8:11:21 AM	Service Control Manager	7036	None	The Remote Desktop Configuration service entered the running state.
Information	7/17/2023 8:11:21 AM	Microsoft-Windows-Iphlpsvc	4200	None	Isatap interface isatap.us-east-2.compute.internal with address fe80::5efe:10.0.0.21 has been brought up.
Information	7/17/2023 8:11:20 AM	Service Control Manager	7036	None	The Certificate Propagation service entered the running state.
Information	7/17/2023 8:11:19 AM	Service Control Manager	7036	None	The WinHTTP Web Proxy Auto-Discovery Service service entered the running state.
Information	7/17/2023 8:11:19 AM	Service Control Manager	7036	None	The Remote Desktop Services UserMode Port Redirector service entered the running state.
Information	7/17/2023 8:11:19 AM	Service Control Manager	7036	None	The Network List Service service entered the running state.
Information	7/17/2023 8:11:19 AM	Service Control Manager	7036	None	The Application Experience service entered the running state.
Information	7/17/2023 8:11:18 AM	Service Control Manager	7036	None	The Portable Device Enumerator Service service entered the running state.
Information	7/17/2023 8:11:18 AM	Service Control Manager	7036	None	The Software Protection service entered the running state.
Error	7/17/2023 8:11:17 AM	Service Control Manager	7026	None	"The following boot-start or system-start driver(s) failed to load: 
cdrom
vmhgfs"
Information	7/17/2023 8:11:17 AM	Service Control Manager	7036	None	The Server service entered the running state.
Information	7/17/2023 8:11:17 AM	Service Control Manager	7036	None	The wampmysqld service entered the running state.
Information	7/17/2023 8:11:17 AM	SNMP	1001	None	The SNMP Service has started successfully.
Information	7/17/2023 8:11:15 AM	Service Control Manager	7036	None	The Windows Remote Management (WS-Management) service entered the running state.
Information	7/17/2023 8:11:14 AM	Service Control Manager	7036	None	The Remote Desktop Licensing service entered the running state.
Information	7/17/2023 8:11:14 AM	Service Control Manager	7036	None	The IP Helper service entered the running state.
Information	7/17/2023 8:11:14 AM	Service Control Manager	7036	None	The World Wide Web Publishing Service service entered the running state.
Information	7/17/2023 8:11:14 AM	Service Control Manager	7036	None	The Windows Process Activation Service service entered the running state.
Information	7/17/2023 8:11:14 AM	Service Control Manager	7036	None	The wampapache service entered the running state.
Information	7/17/2023 8:11:14 AM	Service Control Manager	7036	None	The OpenSSH Server service entered the running state.
Information	7/17/2023 8:11:14 AM	Service Control Manager	7036	None	The Ec2Config service entered the running state.
Information	7/17/2023 8:11:16 AM	Microsoft-Windows-TerminalServices-Licensing	0	None	The Remote Desktop Licensing service has started.
Information	7/17/2023 8:11:15 AM	Microsoft-Windows-WinRM	10121	None	"The WinRM service has been configured to accept basic authentication for unsecure HTTP connections. 

 This is not a secure configuration. 

 User Action 
 Set AllowUnencrypted to False in WinRM configuration to ensure packets are encrypted on the wire."
Warning	7/17/2023 8:11:15 AM	Microsoft-Windows-TerminalServices-Licensing	18	None	"The Remote Desktop license server ""METASPLOITABLE3"" has not been activated and therefore will only issue temporary licenses. To issue permanent licenses, the Remote Desktop license server must be activated."
Information	7/17/2023 8:11:15 AM	Microsoft-Windows-WinRM	10148	None	"The WinRM service is listening for WS-Management requests. 

 User Action 
 Use the following command to see the specific IPs on which WinRM is listening: 

 winrm enumerate winrm/config/listener"
Information	7/17/2023 8:11:13 AM	Service Control Manager	7036	None	The Windows Licensing Monitoring Service service entered the running state.
Information	7/17/2023 8:11:13 AM	Service Control Manager	7036	None	The Windows Management Instrumentation service entered the running state.
Information	7/17/2023 8:11:13 AM	Service Control Manager	7036	None	The Distributed Link Tracking Client service entered the running state.
Information	7/17/2023 8:11:13 AM	Service Control Manager	7036	None	The Remote Desktop Services service entered the running state.
Information	7/17/2023 8:11:13 AM	Service Control Manager	7036	None	The SNMP Service service entered the running state.
Information	7/17/2023 8:11:13 AM	Service Control Manager	7036	None	The Remote Registry service entered the running state.
Information	7/17/2023 8:11:12 AM	Service Control Manager	7036	None	The MEDC Server Component - Apache service entered the running state.
Error	7/17/2023 8:11:13 AM	SNMP	1500	None	The SNMP Service encountered an error while accessing the registry key SYSTEM\CurrentControlSet\Services\SNMP\Parameters\TrapConfiguration.
Information	7/17/2023 8:11:10 AM	Service Control Manager	7036	None	The ManageEngine Desktop Central Server service entered the running state.
Information	7/17/2023 8:11:09 AM	Service Control Manager	7036	None	The Network Location Awareness service entered the running state.
Information	7/17/2023 8:11:06 AM	Service Control Manager	7036	None	The jmx service entered the running state.
Information	7/17/2023 8:11:05 AM	Service Control Manager	7036	None	The MEDC Server Component - Notification Server service entered the running state.
Information	7/17/2023 8:11:05 AM	Service Control Manager	7036	None	The Elasticsearch 1.1.1 (elasticsearch-service-x64) service entered the running state.
Information	7/17/2023 8:11:05 AM	Service Control Manager	7036	None	The jenkins service entered the running state.
Information	7/17/2023 8:11:04 AM	Service Control Manager	7036	None	The Amazon SSM Agent service entered the running state.
Information	7/17/2023 8:11:04 AM	Service Control Manager	7036	None	The domain1 GlassFish Server service entered the running state.
Information	7/17/2023 8:11:04 AM	Service Control Manager	7036	None	The Microsoft FTP Service service entered the running state.
Information	7/17/2023 8:11:04 AM	Service Control Manager	7036	None	The IKE and AuthIP IPsec Keying Modules service entered the running state.
Information	7/17/2023 8:11:03 AM	Service Control Manager	7036	None	The Application Host Helper Service service entered the running state.
Information	7/17/2023 8:11:03 AM	Service Control Manager	7036	None	The Cryptographic Services service entered the running state.
Information	7/17/2023 8:11:03 AM	Service Control Manager	7036	None	The AWS Lite Guest Agent service entered the running state.
Information	7/17/2023 8:11:02 AM	Service Control Manager	7036	None	The Print Spooler service entered the running state.
Information	7/17/2023 8:11:02 AM	Service Control Manager	7036	None	The Security Accounts Manager service entered the running state.
Information	7/17/2023 8:11:02 AM	Service Control Manager	7036	None	The Workstation service entered the running state.
Information	7/17/2023 8:11:02 AM	Service Control Manager	7036	None	The Windows Firewall service entered the running state.
Information	7/17/2023 8:11:02 AM	Service Control Manager	7036	None	The Base Filtering Engine service entered the running state.
Information	7/17/2023 8:11:02 AM	Service Control Manager	7036	None	The Task Scheduler service entered the running state.
Information	7/17/2023 8:11:02 AM	Service Control Manager	7036	None	The Shell Hardware Detection service entered the running state.
Information	7/17/2023 8:11:02 AM	Service Control Manager	7036	None	The DHCP Client service entered the running state.
Information	7/17/2023 8:11:02 AM	Service Control Manager	7036	None	The DNS Client service entered the running state.
Information	7/17/2023 8:11:02 AM	Microsoft-Windows-DHCPv6-Client	51046	Service State Event	DHCPv6 client service is started
Information	7/17/2023 8:11:02 AM	Microsoft-Windows-Dhcp-Client	50036	Service State Event	DHCPv4 client service is started
Information	7/17/2023 8:11:02 AM	Service Control Manager	7036	None	The TCP/IP NetBIOS Helper service entered the running state.
Information	7/17/2023 8:11:02 AM	Service Control Manager	7036	None	The Network Store Interface Service service entered the running state.
Information	7/17/2023 8:11:02 AM	Service Control Manager	7036	None	The Desktop Window Manager Session Manager service entered the running state.
Information	7/17/2023 8:11:02 AM	Service Control Manager	7036	None	The System Event Notification Service service entered the running state.
Information	7/17/2023 8:11:02 AM	Service Control Manager	7036	None	The COM+ Event System service entered the running state.
Information	7/17/2023 8:11:02 AM	Service Control Manager	7036	None	The User Profile Service service entered the running state.
Information	7/17/2023 8:11:02 AM	Service Control Manager	7036	None	The Group Policy Client service entered the running state.
Information	7/17/2023 8:11:02 AM	Service Control Manager	7036	None	The Windows Event Log service entered the running state.
Information	7/17/2023 8:11:02 AM	Service Control Manager	7036	None	The Remote Procedure Call (RPC) service entered the running state.
Information	7/17/2023 8:11:02 AM	Service Control Manager	7036	None	The RPC Endpoint Mapper service entered the running state.
Information	7/17/2023 8:11:02 AM	Service Control Manager	7036	None	The DCOM Server Process Launcher service entered the running state.
